,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No,xm,ym,Clus_Db
122,FORT ST JAMES AUTO,54.455,-124.286,BC,-3.9,0.0,,7.6,0.0,-21.0,0.0,,,,45.6,2.0,,35.0,8.0,,,,613.0,0.0,1092975,1747316.25450948,2388184.4348096997,-1
123,HIXON,53.531,-122.699,BC,-0.3,6.0,3.5,8.5,6.0,-12.5,6.0,9.4,2.0,,30.6,2.0,,0.0,6.0,,,,402.0,0.0,1093474,1923782.5199992694,2213406.1135064084,2
124,HORSEFLY LAKE GRUHS LAKE,52.363,-121.364,BC,-0.9,11.0,3.1,12.5,11.0,-12.5,11.0,32.6,11.0,,51.8,11.0,,0.0,9.0,,,,321.4,0.0,1093600,2072227.677169318,1997847.2482562512,2
125,MCLEESE LAKE FRASERVIEW,52.38,-122.374,BC,-0.2,0.0,2.8,11.0,0.0,-10.0,0.0,22.0,0.0,206.0,37.2,0.0,257.0,11.0,8.0,,,,509.6,0.0,1095015,1959920.8541417911,2000943.3851294601,2
126,MCLEESE LAKE GRANITE MT,52.531,-122.286,BC,-0.9,13.0,,9.0,9.0,-14.0,9.0,28.8,9.0,,50.9,9.0,,,8.0,,,,283.6,0.0,1095018,1969706.0030788423,2028496.830284875,2
127,PRINCE GEORGE,53.884,-122.678,BC,-3.0,0.0,,7.3,0.0,-16.9,0.0,,,,30.4,0.0,,,8.0,,,,588.1,0.0,1096439,1926117.6123592476,2279720.649357524,-1
128,PRINCE GEORGE AIRPORT AUTO,53.889,-122.672,BC,-3.0,0.0,,7.2,0.0,-17.2,0.0,,,,33.6,0.0,,16.0,8.0,,,,588.2,0.0,1096453,1926784.781604956,2280663.9593341807,-1
129,PRINCE GEORGE STP,53.88,-122.768,BC,-1.4,5.0,2.3,14.0,5.0,-15.0,5.0,25.7,5.0,,34.3,5.0,,20.0,6.0,,,,446.3,0.0,1096468,1916110.073673626,2278966.0826046597,-1
130,QUESNEL,53.026,-122.51,BC,-0.1,4.0,,12.3,4.0,-12.2,3.0,,,,35.8,1.0,,,7.0,,,,433.2,0.0,1096629,1944798.3512390733,2119491.064484044,-1
131,QUESNEL AIRPORT AUTO,53.027,-122.506,BC,-1.7,0.0,,9.8,0.0,-13.0,0.0,,,,31.7,0.0,,25.0,6.0,,,,552.8,0.0,1096631,1945243.1307362125,2119675.9438446574,2
132,SPOKIN LAKE 4E,52.184,-121.686,BC,-1.1,0.0,4.3,11.0,0.0,-17.0,0.0,28.0,0.0,124.0,54.8,0.0,219.0,2.0,8.0,,,,533.9,0.0,1097646,2036422.9276496503,1965318.8158845697,-1
133,WILLIAMS LAKE A,52.183,-122.054,BC,-0.7,0.0,,9.6,0.0,-14.8,0.0,31.1,0.0,,54.4,2.0,,7.0,10.0,,,,523.3,0.0,1098941,1995503.2139128882,1965137.461124057,2
134,VANDERHOOF,54.033,-124.017,BC,-3.1,2.0,2.4,9.0,2.0,-16.5,2.0,24.8,2.0,,37.8,2.0,,0.0,8.0,,,,548.3,0.0,1098D90,1777227.6756920598,2307879.848845495,-1
135,108 MILE HOUSE ABEL LAKE,51.623,-121.263,BC,0.7,0.0,,11.5,0.0,-11.5,0.0,16.0,0.0,,34.4,0.0,,10.0,11.0,,,,485.5,0.0,109E7R6,2083458.3594720706,1864212.4662956009,2
136,ABBOTSFORD A,49.025,-122.36,BC,8.2,0.0,,15.4,0.0,-1.4,0.0,0.0,0.0,,111.4,1.0,,,14.0,,,,274.7,0.0,1100031,1961477.582381776,1411580.193380517,0
137,AGASSIZ RCS,49.243,-121.76,BC,8.6,0.0,2.7,16.0,0.0,-0.6,0.0,,,,124.0,1.0,,,14.0,,,,264.6,0.0,1100119,2028194.5069525843,1448628.6826376785,0
138,AGASSIZ CDA,49.243,-121.76,BC,8.9,2.0,3.8,16.0,1.0,-0.5,1.0,0.0,1.0,,168.8,1.0,,0.0,13.0,,,,236.6,0.0,1100120,2028194.5069525843,1448628.6826376785,0
139,WHISTLER - NESTERS,50.129,-122.955,BC,3.7,0.0,,12.8,0.0,-5.0,0.0,,,,124.4,0.0,,0.0,11.0,,,,399.8,0.0,1100875,1895316.632182391,1600909.9880558206,0
140,BLACKCOMB BASE SLIDING CENTER,50.102,-122.936,BC,3.1,0.0,,11.6,0.0,-3.9,0.0,,,,172.8,3.0,,0.0,9.0,,,,417.1,0.0,1100881,1897429.3347937989,1596228.0405453583,0
141,BURNABY SIMON FRASER U,49.278,-122.918,BC,8.3,15.0,4.1,14.0,15.0,4.5,15.0,0.0,15.0,,150.7,15.0,,,10.0,,,,125.8,0.0,1101158,1899430.8425309232,1454592.0539627066,0
142,CALLAGHAN VALLEY,50.144,-123.111,BC,3.3,0.0,,12.4,0.0,-4.7,0.0,,,,246.3,0.0,,0.0,12.0,,,,411.0,0.0,1101300,1877970.2317939799,1603512.2114336258,0
143,CHILLIWACK R HATCHERY,49.08,-121.704,BC,6.6,0.0,3.1,16.5,0.0,-1.5,0.0,0.0,0.0,0.0,153.8,0.0,120.0,0.0,17.0,,,,318.4,0.0,1101N65,2034421.4199125275,1420911.9371803002,0
144,DELTA BURNS BOG,49.126,-123.002,BC,7.3,2.0,,14.8,2.0,-3.9,1.0,,,,88.9,2.0,,,12.0,,,,277.9,0.0,1102415,1890090.4730910112,1428724.607198516,0
145,DELTA TSAWWASSEN BEACH,49.011,-123.093,BC,7.9,2.0,2.1,14.0,2.0,1.5,2.0,0.0,2.0,,70.6,2.0,,0.0,11.0,,,,261.8,0.0,1102425,1879971.7395311042,1409206.4875622308,0
146,FORT LANGLEY TELEGRAPH TRAIL,49.145,-122.551,BC,8.1,0.0,,15.0,0.0,-1.0,0.0,0.0,0.0,,116.6,0.0,,0.0,14.0,,,,276.0,0.0,1102912,1940239.3613934016,1431953.6945820516,0
147,HANEY UBC RF ADMIN,49.264,-122.573,BC,8.0,0.0,3.8,14.0,0.0,-1.0,0.0,0.0,0.0,0.0,192.9,0.0,96.0,0.0,14.0,,,,279.7,0.0,1103332,1937793.0741591398,1452206.197888162,0
148,LAIDLAW,49.356,-121.579,BC,7.8,0.0,3.6,15.0,0.0,-1.0,0.0,0.0,0.0,0.0,198.0,0.0,102.0,0.0,16.0,,,,286.7,0.0,1104488,2048320.7791981127,1467897.0948632676,0
149,MISSION WEST ABBEY,49.153,-122.271,BC,8.1,0.0,3.5,15.5,0.0,2.0,0.0,0.0,0.0,0.0,151.0,0.0,94.0,0.0,16.0,,,,277.0,0.0,1105192,1971373.9261931125,1433313.6807300048,0
150,N VANC GROUSE MTN RESORT,49.381,-123.078,BC,3.6,9.0,3.7,8.5,9.0,-1.0,9.0,5.0,9.0,,202.7,9.0,,0.0,12.0,,,,273.2,0.0,1105658,1881639.6626453747,1472165.99537135,-1
151,PITT MEADOWS CS,49.208,-122.69,BC,8.2,1.0,,15.6,1.0,-2.5,0.0,,,,128.3,1.0,,,13.0,,,,264.7,0.0,1106178,1924783.2738678316,1442669.536468085,0
152,POINT ATKINSON,49.33,-123.265,BC,7.6,0.0,,14.3,0.0,2.4,0.0,,,,112.4,0.0,,,13.0,,,,292.5,0.0,1106200,1860846.2211541394,1463459.7394603584,0
153,RICHMOND NATURE PARK,49.171,-123.093,BC,7.8,1.0,2.9,19.5,1.0,-3.0,1.0,0.0,1.0,,107.4,1.0,,0.0,12.0,,,,275.8,0.0,1106PF7,1879971.7395311042,1436374.4527804246,-1
154,SANDHEADS CS,49.106,-123.303,BC,8.2,0.0,,13.6,0.0,3.7,0.0,,,,,,,,,,,,274.4,0.0,1107010,1856620.815931322,1425326.9042688236,0
155,SUMAS CANAL,49.113,-122.11,BC,8.5,11.0,,16.0,7.0,1.5,7.0,0.0,7.0,,146.5,7.0,,,15.0,,,,161.8,0.0,1107785,1989276.3009529463,1426515.9444705658,0
156,VANCOUVER SEA ISLAND CCG,49.183,-123.187,BC,7.6,0.0,,14.4,0.0,-0.8,0.0,,,,94.6,0.0,,,13.0,,,,291.3,0.0,1108380,1869519.421348345,1438415.585774634,0
157,VANCOUVER INTL A,49.195,-123.184,BC,7.4,0.0,,14.3,0.0,-1.9,0.0,0.0,0.0,,113.4,0.0,,0.0,15.0,,,,296.4,0.0,1108395,1869853.005971199,1440457.2137883436,0
158,VANCOUVER HARBOUR CS,49.295,-123.122,BC,8.5,0.0,,13.1,0.0,1.9,0.0,,,,130.0,0.0,,,13.0,,,,265.2,0.0,1108446,1876747.088176849,1457490.0755692609,0
159,WEST VANCOUVER AUT,49.347,-123.193,BC,8.3,0.0,,13.7,0.0,1.7,0.0,,,,121.5,1.0,,,12.0,,,,270.8,0.0,1108824,1868852.2521026367,1466360.8218767392,0
160,WHISTLER ROUNDHOUSE,50.068,-122.947,BC,-1.2,0.0,,8.0,0.0,-10.0,0.0,59.1,0.0,,207.1,0.0,,144.0,11.0,,,,537.1,0.0,1108906,1896206.1911766678,1590336.0070834039,-1
161,WHITE ROCK CAMPBELL SCIENTIFIC,49.018,-122.784,BC,9.0,0.0,,16.5,0.0,0.3,0.0,,,,94.8,11.0,,0.0,13.0,,,,252.2,0.0,1108910,1914330.9556850705,1410393.2570158998,0
162,N VAN SEYMOUR HATCHERY,49.438,-122.967,BC,6.8,3.0,3.8,13.5,3.0,-2.0,3.0,0.0,3.0,,178.1,3.0,,0.0,13.0,,,,280.9,0.0,110N666,1893982.2936909746,1481907.2160095507,0
163,HOPE A,49.368,-121.498,BC,7.8,0.0,,15.0,0.0,-1.2,0.0,,,,163.7,0.0,,,17.0,,,,286.2,0.0,1113542,2057327.5640151708,1469945.8961956436,0
164,HOPE AIRPORT,49.37,-121.493,BC,7.7,0.0,,14.9,0.0,-1.5,0.0,,,,153.8,0.0,,,17.0,,,,288.7,0.0,1113543,2057883.5383865952,1470287.4116995912,0
165,HOPE SLIDE,49.267,-121.233,BC,4.0,0.0,4.3,14.0,0.0,-4.5,0.0,0.0,0.0,0.0,94.0,0.0,90.0,0.0,15.0,,,,393.1,0.0,1113581,2086794.2057006112,1452717.39576667,0
166,LILLOOET,50.684,-121.934,BC,5.2,0.0,,14.8,0.0,-2.8,0.0,,,,52.6,0.0,,,8.0,,,,359.6,0.0,1114619,2008846.5988270505,1697741.2456432125,0
167,LYTTON A,50.224,-121.582,BC,5.5,2.0,,14.0,2.0,-3.3,1.0,,,,0.0,3.0,,,0.0,,,,326.0,0.0,1114738,2047987.1945752588,1617404.5373373749,0
168,LYTTON RCS,50.224,-121.582,BC,5.6,0.0,,14.5,0.0,-3.4,0.0,,,,80.2,0.0,,0.0,7.0,,,,348.5,0.0,1114746,2047987.1945752588,1617404.5373373749,0
169,HEDLEY N,49.364,-120.069,BC,3.6,1.0,,12.0,1.0,-5.0,1.0,2.2,1.0,,12.8,1.0,,0.0,5.0,,,,388.6,0.0,1123370,2216225.0393679803,1469262.9068641206,0
170,HEDLEY NP MINE,49.369,-120.022,BC,0.7,6.0,4.4,11.5,6.0,-8.5,6.0,8.0,6.0,,8.0,6.0,,,4.0,,,,379.9,0.0,1123390,2221451.19845936,1470116.6522109406,0
171,JELLICOE,49.673,-120.333,BC,1.7,0.0,,11.5,0.0,-9.5,0.0,4.0,0.0,,22.8,0.0,,30.0,11.0,,,,457.7,0.0,1123721,2186869.592556825,1522188.4156743838,0
172,KELOWNA,49.957,-119.378,BC,2.8,0.0,,12.8,0.0,-7.7,0.0,,,,33.0,0.0,,,9.0,,,,426.6,0.0,1123939,2293060.6974986955,1571129.2761266697,0
173,KELOWNA UBCO,49.941,-119.4,BC,3.6,0.0,,13.2,0.0,-5.6,0.0,,,,23.0,0.0,,,6.0,,,,404.1,0.0,1123996,2290614.4102644315,1568364.3917436674,0
174,KELOWNA MWS0,49.95,-119.4,BC,3.6,0.0,,13.2,0.0,-5.5,0.0,13.2,0.0,,29.2,0.0,,0.0,7.0,,,,402.5,0.0,11239R0,2290614.4102644315,1569919.5261892965,0
175,MERRITT,50.113,-120.778,BC,3.2,0.0,,13.8,0.0,-8.4,0.0,,,,0.2,27.0,,,0.0,,,,414.9,0.0,1125073,2137387.873500141,1598135.1819529003,0
176,MERRITT STP,50.114,-120.801,BC,3.9,0.0,4.4,13.5,0.0,-6.5,0.0,1.2,0.0,14.0,8.2,0.0,42.0,0.0,4.0,,,,396.2,0.0,1125079,2134830.391391594,1598308.5801671874,0
177,OKANAGAN CENTRE,50.056,-119.445,BC,3.7,0.0,2.7,11.5,0.0,-2.5,0.0,5.6,0.0,72.0,31.6,0.0,139.0,0.0,8.0,,,,399.8,0.0,1125700,2285610.6409216225,1588257.4631748535,0
178,OLIVER STP,49.179,-119.545,BC,6.0,13.0,4.6,15.0,13.0,-5.0,10.0,0.0,10.0,,6.0,10.0,,,3.0,,,,179.8,0.0,1125766,2274491.1534931534,1437735.1531240102,0
179,OSOYOOS CS,49.028,-119.441,BC,5.4,0.0,3.5,12.8,0.0,-5.5,0.0,,,,10.1,0.0,,0.0,2.0,,,,352.6,0.0,1125852,2286055.4204187603,1412088.931505139,0
180,PEACHLAND,49.783,-119.717,BC,4.6,4.0,3.2,12.5,4.0,-2.0,4.0,3.0,4.0,,35.8,4.0,,0.0,9.0,,,,322.0,0.0,1126070,2255365.6351161883,1541110.324335237,0
181,PENTICTON A,49.463,-119.602,BC,4.6,0.0,,13.0,0.0,-5.1,0.0,1.8,0.0,,18.6,0.0,,,6.0,,,,376.5,0.0,1126146,2268153.0456589265,1486183.2529738676,0
182,PRINCETON A,49.468,-120.513,BC,1.3,0.0,3.6,8.5,0.0,-8.5,0.0,0.4,0.0,2.0,30.8,0.0,150.0,13.0,7.0,,,,468.3,0.0,1126510,2166854.5151855815,1487038.722138457,0
183,VERNON BELLA VISTA,50.264,-119.31,BC,3.0,0.0,3.3,12.5,0.0,-4.0,0.0,7.2,0.0,60.0,38.0,0.0,156.0,0.0,10.0,,,,419.5,0.0,1128553,2300621.948950053,1624359.4390150588,0
184,VERNON AUTO,50.223,-119.194,BC,2.1,0.0,,12.0,0.0,-5.4,0.0,,,,30.6,0.0,,,8.0,,,,445.2,0.0,1128582,2313520.554367076,1617230.7395496946,0
185,VERNON NORTH,50.344,-119.27,BC,2.2,0.0,2.4,9.5,0.0,-4.0,0.0,19.0,0.0,141.0,49.0,0.0,195.0,0.0,11.0,,,,441.2,0.0,1128583,2305069.7439214415,1638286.7857552152,0
186,VERNON SILVER STAR LODGE,50.359,-119.056,BC,-2.3,13.0,,4.5,2.0,-10.0,13.0,51.0,2.0,,51.0,2.0,,0.0,10.0,,,,305.2,0.0,1128584,2328865.447018363,1640900.7739976104,-1
187,WINFIELD,50.037,-119.415,BC,3.4,0.0,3.4,11.5,0.0,-3.0,0.0,9.8,0.0,86.0,28.6,0.0,137.0,0.0,7.0,,,,408.3,0.0,1128958,2288946.4871501615,1584967.4981842814,0
188,PRINCETON CS,49.465,-120.51,BC,0.7,0.0,,8.7,0.0,-9.0,0.0,,,,20.0,0.0,,15.0,7.0,,,,483.4,0.0,112FN0M,2167188.0998084354,1486525.430163581,-1
189,SUMMERLAND CS,49.563,-119.649,BC,4.0,0.0,3.1,12.9,0.0,-4.3,0.0,,,,18.0,0.0,,,6.0,,,,392.0,0.0,112G8L1,2262926.8865675465,1503309.2537181247,0
190,MIDWAY,49.004,-118.772,BC,2.5,0.0,3.8,12.5,0.0,-8.0,0.0,17.0,0.0,128.0,30.6,0.0,119.0,0.0,6.0,,,,434.4,0.0,1135126,2360444.7913152114,1408019.8849548642,0
191,BILLINGS,49.017,-118.228,BC,2.5,0.0,3.3,11.5,0.0,-6.0,0.0,15.6,0.0,82.0,30.4,0.0,92.0,0.0,7.0,,,,434.4,0.0,1140876,2420934.8029260794,1410223.7083049892,0
192,CASTLEGAR A,49.296,-117.633,BC,3.0,0.0,3.2,12.2,0.0,-7.3,0.0,12.6,0.0,49.0,62.9,0.0,123.0,0.0,8.0,,,,419.6,0.0,1141455,2487095.7531254645,1457660.578551014,0
193,CASTLEGAR BCHPA DAM,49.343,-117.774,BC,4.0,0.0,3.7,12.5,0.0,-3.0,0.0,0.0,0.0,0.0,30.6,0.0,69.0,0.0,8.0,,,,392.6,0.0,1141457,2471417.2758513237,1465678.1240877807,0
194,CRESTON,49.097,-116.518,BC,3.4,0.0,3.4,12.0,0.0,-6.0,0.0,4.0,0.0,23.0,76.2,0.0,174.0,0.0,7.0,,,,409.9,0.0,1142160,2611078.037952883,1423798.3847411638,0
195,DUNCAN LAKE DAM,50.239,-116.972,BC,1.6,0.0,3.1,8.0,0.0,-8.5,0.0,13.0,0.0,53.0,82.7,0.0,147.0,0.0,11.0,,,,458.8,0.0,1142574,2560595.565027639,1620011.9415325494,0
196,FAUQUIER,49.872,-118.068,BC,1.9,0.0,2.5,9.0,0.0,-6.0,0.0,11.0,0.0,56.0,52.2,0.0,118.0,0.0,10.0,,,,450.0,0.0,1142820,2438725.982811628,1556451.3340964979,0
197,KASLO,49.913,-116.921,BC,3.0,0.0,3.5,9.0,0.0,-7.0,0.0,11.1,0.0,53.0,94.9,0.0,157.0,0.0,11.0,,,,420.7,0.0,1143900,2566266.503616156,1563528.0527077522,0
198,LISTER,49.032,-116.458,BC,2.8,0.0,3.0,10.5,0.0,-7.5,0.0,1.0,0.0,6.0,53.8,0.0,163.0,0.0,4.0,,,,426.7,0.0,1144635,2617749.7304099645,1412767.29672076,0
199,NAKUSP CS,50.269,-117.817,BC,2.2,0.0,,9.9,0.0,-5.9,0.0,,,,81.1,0.0,,1.0,12.0,,,,443.4,0.0,1145297,2466635.8962570834,1625229.2123170225,0
200,NELSON NE,49.586,-117.206,BC,3.4,0.0,,10.0,0.0,-4.5,0.0,10.4,0.0,,92.4,0.0,,0.0,9.0,,,,407.6,0.0,1145442,2534575.9644450224,1507253.193265127,0
201,NEW DENVER,49.996,-117.37,BC,2.7,0.0,3.0,9.5,0.0,-5.0,0.0,9.8,0.0,48.0,72.8,0.0,127.0,0.0,11.0,,,,427.9,0.0,1145460,2516340.0050623347,1577872.5331843086,0
202,NELSON CS,49.491,-117.305,BC,3.6,0.0,,12.4,0.0,-4.8,0.0,,,,62.9,0.0,,0.0,8.0,,,,403.8,0.0,1145M29,2523567.6718908385,1490975.0052761957,0
203,WARFIELD RCS,49.112,-117.739,BC,3.3,2.0,,11.4,2.0,-6.4,1.0,,,,130.3,4.0,,,12.0,,,,382.1,0.0,1148705,2475309.096451287,1426346.0713131726,0
204,CRESTON CAMPBELL SCIENTIFIC,49.082,-116.501,BC,3.3,0.0,,11.7,0.0,-5.1,0.0,,,,63.5,0.0,,2.0,4.0,,,,411.9,0.0,114B1F0,2612968.3508157227,1421251.4679573933,0
205,NELSON RIXEN CREEK,49.512,-117.399,BC,2.1,0.0,,10.5,0.0,-6.0,0.0,22.0,0.0,,89.2,0.0,,12.0,10.0,,,,445.7,0.0,114EMDM,2513115.353708079,1494570.6184972022,0
206,BAYNES LAKE KOOTENAY RIVER,49.226,-115.221,BC,0.5,5.0,3.7,12.5,5.0,-12.5,5.0,0.0,4.0,,0.8,4.0,,0.0,0.0,,,,401.6,0.0,1150690,2755297.7899001148,1445733.7130070599,-1
207,CRANBROOK A,49.612,-115.782,BC,0.4,0.0,,10.9,0.0,-13.7,0.0,10.0,0.0,,20.2,1.0,,0.0,5.0,,,,492.5,0.0,1152105,2692917.465426409,1511713.7992932964,-1
208,CRANBROOK AIRPORT AUTO,49.618,-115.789,BC,0.5,0.0,,10.7,0.0,-13.8,0.0,,,,16.2,0.0,,2.0,4.0,,,,489.1,0.0,1152106,2692139.101306416,1512743.5077806916,-1
209,FERNIE,49.489,-115.073,BC,1.2,7.0,5.0,13.5,7.0,-13.0,7.0,4.0,7.0,,78.0,7.0,,0.0,6.0,,,,353.2,0.0,1152850,2771754.6312942486,1490632.646382194,-1
210,FORDING RIVER COMINCO,50.149,-114.855,BC,-5.4,21.0,2.7,8.5,15.0,-23.2,15.0,20.4,15.0,,20.4,15.0,,,6.0,,,,163.9,0.0,1152899,2795995.113888308,1604379.8005652651,-1
211,FT STEELE DANDY CRK,49.524,-115.461,BC,0.8,14.0,,13.0,8.0,-12.5,9.0,1.0,8.0,,9.3,8.0,,0.0,4.0,,,,241.2,0.0,1153034,2728611.0200717915,1496625.9477333548,-1
212,KIMBERLEY PCC,49.631,-115.962,BC,-0.5,12.0,3.6,10.0,12.0,-13.0,12.0,13.0,12.0,,13.0,12.0,,2.0,3.0,,,,295.5,0.0,1154203,2672902.3880551658,1514974.9778510751,-1
213,KOOTENAY NP WEST GATE,50.631,-116.061,BC,0.9,6.0,5.1,9.0,4.0,-9.5,6.0,3.2,0.0,23.0,13.0,0.0,67.0,0.0,4.0,,,,375.6,0.0,1154410,2661894.095500982,1688445.1096288748,0
214,SPARWOOD,49.745,-114.883,BC,-0.2,2.0,4.4,11.0,2.0,-16.0,2.0,5.6,2.0,,38.8,2.0,,0.0,4.0,,,,472.6,0.0,1157630,2792881.6574083376,1534568.81570738,-1
215,SPARWOOD CS,49.745,-114.884,BC,-0.5,0.0,,10.8,0.0,-16.2,0.0,,,,0.0,27.0,,,0.0,,,,518.3,0.0,1157631,2792770.4625340523,1534568.81570738,-1
216,WARDNER KTNY HATCHERY,49.473,-115.46,BC,1.8,4.0,4.4,12.0,4.0,-10.5,4.0,0.0,4.0,,17.4,4.0,,0.0,3.0,,,,388.1,0.0,1158692,2728722.2149460767,1487894.2786170458,0
217,WASA,49.807,-115.631,BC,1.3,0.0,4.5,11.0,0.0,-11.5,0.0,7.4,0.0,55.0,19.8,0.0,107.0,0.0,5.0,,,,466.5,0.0,1158730,2709707.8914433955,1545244.4473969908,-1
218,ASHCROFT,50.708,-121.281,BC,4.6,0.0,,13.5,0.0,-4.2,0.0,,,,24.6,0.0,,,6.0,,,,375.5,0.0,1160515,2081456.8517349462,1701954.2706601173,0
219,BLUE RIVER A,52.129,-119.29,BC,-0.9,0.0,3.5,8.4,0.0,-13.8,0.0,32.6,0.0,66.0,65.8,0.0,122.0,58.0,12.0,,,,528.3,0.0,1160899,2302845.8464357466,1955350.3537135841,2
220,BLUE RIVER CS,52.129,-119.29,BC,-0.4,0.0,,10.3,0.0,-12.6,0.0,,,,0.2,0.0,,,0.0,,,,515.1,0.0,1160H99,2302845.8464357466,1955350.3537135841,2
221,BUFFALO LAKE,51.709,-121.083,BC,-0.4,1.0,4.0,9.5,1.0,-15.0,1.0,22.4,1.0,,51.6,1.0,,11.0,10.0,,,,497.1,0.0,1161104,2103473.436843314,1879630.194519733,2
222,CLEARWATER AUTO,51.653,-120.082,BC,1.3,0.0,,11.0,0.0,-8.3,0.0,,,,48.0,0.0,,20.0,9.0,,,,468.6,0.0,1161650,2214779.5060022804,1869587.42044082,-1
223,CLINTON (AUT),51.145,-121.505,BC,0.5,0.0,,9.4,0.0,-11.6,0.0,,,,24.5,1.0,,,9.0,,,,490.3,0.0,1161661,2056549.199895179,1779046.6700700307,2
224,CLINTON A,51.266,-121.685,BC,-0.3,0.0,,10.5,0.0,-10.2,0.0,,,,13.4,0.0,,,4.0,,,,511.0,0.0,1161662,2036534.1225239355,1800521.478231931,2
225,CRISS CREEK,51.03,-120.728,BC,-0.2,0.0,5.0,11.0,0.0,-16.0,0.0,15.2,0.0,91.0,26.0,0.0,147.0,2.0,7.0,,,,510.3,0.0,1162177,2142947.617214376,1758688.8433715878,-1
226,DARFIELD,51.297,-120.183,BC,2.1,2.0,3.9,12.0,1.0,-4.5,1.0,21.0,1.0,,38.4,1.0,,,10.0,,,,414.3,0.0,1162265,2203548.823699526,1806032.3830424398,0
227,KAMLOOPS A,50.703,-120.449,BC,4.0,0.0,,15.1,0.0,-4.5,0.0,11.8,0.0,,27.6,0.0,,,8.0,,,,393.0,0.0,1163781,2173970.987139802,1701076.3793132072,0
228,KAMLOOPS AUT,50.702,-120.442,BC,4.1,0.0,,14.8,0.0,-4.3,0.0,,,,24.5,0.0,,,6.0,,,,389.2,0.0,1163842,2174749.3512597955,1700900.8122772416,0
229,100 MILE HOUSE 6NE,51.681,-121.217,BC,-0.6,0.0,,10.0,0.0,-12.0,0.0,29.8,0.0,,50.6,0.0,,11.0,9.0,,,,519.7,0.0,1165793,2088573.3236891667,1874607.2549426993,2
230,RED LAKE,50.935,-120.8,BC,1.2,0.0,5.3,10.0,0.0,-12.0,0.0,19.9,0.0,89.0,35.7,0.0,152.0,1.0,7.0,,,,471.5,0.0,1166658,2134941.5862658788,1741909.575175887,2
231,SILVER CREEK,50.545,-119.35,BC,1.7,6.0,2.9,9.0,6.0,-7.0,6.0,15.0,6.0,,48.6,6.0,,0.0,10.0,,,,358.3,0.0,1167337,2296174.153978667,1673383.0870795017,0
232,SUN PEAKS MOUNTAIN,50.903,-119.911,BC,-4.6,19.0,,3.0,19.0,-11.0,19.0,6.0,19.0,,6.0,19.0,,126.0,1.0,,,,203.0,0.0,1168204,2233793.82950496,1736265.329994115,-1
233,VAVENBY,51.576,-119.778,BC,1.7,0.0,4.4,10.0,0.0,-8.0,0.0,7.0,0.0,60.0,22.4,0.0,100.0,0.0,9.0,,,,455.8,0.0,1168520,2248582.7477848222,1855798.8450453319,0
234,KAMLOOPS PRATT ROAD,50.6,-120.2,BC,2.3,0.0,,11.0,0.0,-4.5,0.0,16.2,0.0,,35.0,0.0,,0.0,10.0,,,,438.7,0.0,116C8P0,2201658.510836687,1683012.6040855767,0
235,SALMON ARM CS,50.703,-119.291,BC,2.3,0.0,2.3,11.5,0.0,-4.9,0.0,,,,41.1,0.0,,0.0,7.0,,,,439.3,0.0,116FRMN,2302734.651561463,1701076.3793132072,0
236,SUN PEAKS LOWER,50.887,-119.882,BC,-1.8,19.0,,7.5,19.0,-13.5,19.0,4.0,19.0,,4.0,19.0,,39.0,1.0,,,,178.6,0.0,116Q20D,2237018.4808592154,1733444.662110473,-1
237,SUN PEAKS UPPER,50.902,-119.918,BC,-4.1,2.0,,2.5,1.0,-12.0,1.0,37.0,1.0,,37.0,1.0,,157.0,8.0,,,,574.3,0.0,116QK0M,2233015.4653849667,1736089.0098569952,-1
238,GOLDEN A,51.299,-116.982,BC,-0.7,3.0,4.3,9.0,3.0,-12.5,3.0,10.0,3.0,,23.4,3.0,,13.0,3.0,,,,468.0,0.0,1173210,2559483.6162847914,1806388.0530487606,2
239,GOLDSTREAM RIVER,51.63,-118.425,BC,-0.5,2.0,3.7,7.0,0.0,-9.0,2.0,50.0,0.0,81.0,103.0,0.0,155.0,67.0,16.0,,,,480.0,0.0,1173242,2399029.412691997,1865466.3042806387,-1
240,MICA DAM,52.053,-118.585,BC,-0.1,2.0,3.3,5.5,1.0,-8.0,1.0,63.0,1.0,,125.5,1.0,,108.0,13.0,,,,469.7,0.0,1175122,2381238.2328064484,1941595.9797356725,-1
241,REVELSTOKE A,50.967,-118.183,BC,0.9,0.0,,9.8,0.0,-7.2,0.0,,,,87.1,0.0,,,11.0,,,,478.8,0.0,1176745,2425938.5722688884,1747557.705494902,0
242,REVELSTOKE AIRPORT AUTO,50.958,-118.176,BC,1.0,0.0,,10.1,0.0,-7.4,0.0,,,,91.8,0.0,,37.0,11.0,,,,476.1,0.0,1176755,2426716.936388882,1745968.7757436885,0
243,YOHO PARK,51.443,-116.345,BC,-4.3,0.0,,5.0,0.0,-22.9,0.0,,,,59.0,0.0,,84.0,11.0,,,,624.9,0.0,11790J1,2630314.7512041335,1832037.1295967288,-1
244,YOHO NP EMERALD LAKE,51.433,-116.541,BC,-1.9,5.0,,15.5,5.0,-16.0,5.0,24.5,5.0,,30.5,5.0,,0.0,7.0,,,,457.4,0.0,117R00G,2608520.5558443363,1830253.3341604695,-1
